Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,36.950001,37.320000,36.820000,37.320000,33.476475,13303600
2010-01-05,37.380001,37.430000,36.799999,37.000000,33.189442,21396400
2010-01-06,36.799999,37.500000,36.799999,37.500000,33.637943,18720600
2010-01-07,37.270000,37.450001,37.070000,37.150002,33.323994,10964600
2010-01-08,37.160000,37.389999,36.860001,36.950001,33.144592,14624200
2010-01-11,37.209999,37.340000,36.619999,36.830002,33.036945,15317700
2010-01-12,36.590000,36.680000,36.040001,36.360001,32.615349,14886200
2010-01-13,36.560001,36.740002,35.840000,36.299999,32.561527,23228200
2010-01-14,36.279999,36.459999,35.560001,35.669998,31.996412,20073400
2010-01-15,35.570000,36.099998,35.509998,35.750000,32.068176,21169000
2010-01-18,35.900002,36.669998,35.770000,36.549999,32.785782,23168400
2010-01-19,36.450001,36.650002,36.240002,36.380001,32.633293,16895900
2010-01-20,36.099998,36.150002,35.259998,35.450001,31.799068,18757500
2010-01-21,35.580002,35.700001,34.290001,34.330002,30.794416,24553000
2010-01-22,34.110001,34.799999,34.060001,34.750000,31.171162,19025100
2010-01-26,34.290001,34.340000,33.650002,33.900002,30.408699,20281200
2010-01-27,33.900002,34.290001,33.509998,34.110001,30.597076,19908600
2010-01-28,34.599998,34.689999,33.869999,34.610001,31.045586,13819200
2010-01-29,34.779999,35.049999,33.930000,34.169998,30.650898,16106700
2010-02-01,34.290001,34.490002,33.900002,34.299999,30.767508,15869300
2010-02-02,34.509998,34.669998,34.060001,34.099998,30.588099,15289600
2010-02-03,34.049999,34.180000,33.730000,34.040001,30.534283,16091200
2010-02-04,33.840000,33.939999,32.119999,32.299999,28.973482,24280300
2010-02-05,31.799999,32.270000,30.719999,31.520000,28.273813,29033800
2010-02-08,31.799999,32.259998,31.420000,31.740000,28.471155,18684700
2010-02-09,32.200001,32.680000,32.099998,32.240002,28.919664,18104200
2010-02-10,32.330002,32.730000,31.770000,32.639999,29.278463,21909900
2010-02-11,32.889999,33.470001,32.730000,33.360001,29.924316,24110900
2010-02-12,33.000000,34.020000,32.950001,33.799999,30.319000,19127100
2010-02-17,34.389999,34.500000,34.029999,34.250000,30.722654,16622400
2010-02-18,34.240002,34.689999,33.820000,34.689999,31.117338,17017800
2010-02-19,34.419998,34.650002,34.160000,34.349998,30.812355,11889400
